entry_id	md5sum	file_name	dataset	dimension	published_value	inferred_value	recommendation	published_in_vocabulary
2d68a666-47bb-4bf0-b130-c3da31202cc4	6134a488d6529080af97b587814259d6	ZNF277-BGRSDLV02-76dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
305ea00a-4063-4ffa-b3eb-3b10072b8852	0e9ebcd72c5cd10e3c7d6f634a59a510	TEX13A-BGRSDLV04-96dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
3338c28e-29a7-4028-a656-88527cc556fa	d15629a4c6f35989fe1410792c02beb2	RNF20-BGRSLV02-50_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
31f5ab1c-52fe-4545-9001-48e96512be73	e0b1ad951b69d80409ef5251cbde0a22	RBM10-BGRSDLV04-23dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
2fbdb4c4-c160-4e33-bd62-6ec1ec0d2d1a	4f9101455826a8f805eb66e5af1d29b4	BMI1-BGRSLV02-27_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
2f08f1f4-4081-45bf-8948-0cffd4b98a30	72acf23113e4b8678e62c96d7dab5bcb	RNF43-BGRSLV06-34_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
335cc246-d37e-466e-b84a-17438f4b38af	5d61855e689728ca208e8cf5ff306285	ZDHHC5-BGRSLV05-59_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
347aef8a-8cf9-407e-8f9c-a271a5dfc7b5	3ce53d58b1264f24c7212b1f7e16f7a2	MAZ-BGRSDLV02-48dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
3420d480-eca0-4ec9-b64b-de8af8ac836a	f7bdd477e8339eac44e65bcebf8ef1f0	CISD2-BGRSDLV02-81_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
36177d17-93cc-4037-952e-bbc6576870e6	a562f557ee0ffa42043a8fd205c6899b	ZC3H18-BGRSLV02-65_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
2d24cad0-f960-4a24-920a-9320ff84e73f	75a384726c47c36ddea92355c542907e	ERI2-BGRSDLV03-15dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
35a82c7a-105a-4636-bdf6-08985b239c1f	9b381fbee409972cb36788b4deed1fdf	RBM4B-BGRSLV04-43_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
37a07768-fcfa-4342-a19d-d21dc6e2ee47	ba622e135ac4e7abebe8984b0b4a8a30	LITAF-BGRSLV07-13_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
36f12bd0-49b2-4d61-80bb-e02d691c6fbc	9c40433558f9b6adbde67c83b0e641d0	MNAT1-BGRSLV02-30_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
3ba2b01c-c384-4793-9f4d-863862520887	dce9f778b833d70965a312438d8710cd	RYBP-BGRSLV06-35_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
378f0406-ff64-4870-848f-d60acc312c82	7a8c315b69526bcf1adc99250257502d	MBNL1-BGRSDLV03-26_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
3867a3b2-48a5-4d67-a8dd-206d9d41f5af	d2e6b8d6ab951075a4584920f74b2fed	RNF113A-BGRSDLV03-29_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
3d3fd8b1-1bac-429c-9207-685fe8c5f167	995f24abf498a210d7933fdef6199685	LIN28B-BGRSDLV02-44dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
37636ca6-a131-4fb3-aefb-2d02a27119bc	6b207334816a9c65b317800a0a2d0e52	NT-BGRSDTLV02-1tot_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
39dd91da-15df-42f4-83aa-b0acc393a0db	99f835274588261728662c63d0bcc1a0	PIAS4-BGRSLV06-15_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
3c84e678-7042-4644-9b53-c1141ab93c93	dc1daab76203434106654af94a1e43c9	RNF14-BGRSDLV03-36dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
3e6923e6-c09d-4406-a648-e011d883e97e	e6014b213f7809b1d0b470ee972af611	ZC3H3-BGRSDLV03-46_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
391df997-1c9e-42b2-b79b-b5c38572c3bf	5540a1d8422f98633158487b07f53a4d	RC3H2-BGRSLV04-45_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
3ef3c421-662f-4a84-8fee-eb62d14b9350	b400a8ecd395b5122d32a65b418ef564	SNRNP48-BGRSDLV04-36dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
3ecebd66-18ae-43c2-ab9e-05c9615306d9	6450d6b7f29f76980c57b3425b6acc69	RBM5-BGRSDLV02-55dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
3e2903ba-bf44-4cfa-b300-be7bedf504ba	d2701724f8f3810f528d63ca76e11f7a	CNOT4-BGRSDLV03-5_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
446e7a88-d7bb-4966-b19a-f841036d47f5	363f041de42007689cb803dc3d4b3dc5	TRIM28-BGRSLV06-43_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
43b3b564-7d3e-4878-bf5e-969737502147	64f739ecf8668412eab757415aa6d48a	PHF14-BGRSLV06-14_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
41388623-9791-4af2-88d2-1a4c40297560	47c5d5639d9b1e5faa61bd120ac79761	ZNF354A-BGRSLV08-26_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
3e9f16fb-2db6-4d69-8d23-b76ac38b3d7e	4ff62bbe8c2d12cef3da3db372576db5	ZNF800-BGRSDLV04-85_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
